game_id,date,home_score,away_score,home_win
831586,2026-02-27,4,4,0
831952,2026-02-27,1,3,0
831526,2026-02-28,2,5,0
831637,2026-02-28,3,12,0
831635,2026-02-28,13,8,1
831530,2026-02-28,5,7,0
831636,2026-02-28,5,1,1
831533,2026-02-28,7,5,1
831481,2026-02-28,2,3,0
831474,2026-02-28,2,10,0
831925,2026-02-28,2,6,0
831763,2026-02-28,2,8,0
831798,2026-02-28,7,6,1
831917,2026-02-28,5,7,0
831957,2026-02-28,5,8,0
831845,2026-02-28,3,16,0
831738,2026-02-28,7,1,1
831893,2026-02-28,7,9,0
831638,2026-03-01,7,8,0
831477,2026-03-01,1,6,0
831639,2026-03-01,4,4,0
831585,2026-03-01,5,3,1
831531,2026-03-01,2,2,0
831475,2026-03-01,0,3,0
831578,2026-03-01,3,5,0
831579,2026-03-01,4,3,1
831867,2026-03-01,8,3,1
831827,2026-03-01,4,3,1
831899,2026-03-01,12,4,1
831768,2026-03-01,9,1,1
831914,2026-03-01,1,5,0
831794,2026-03-01,3,1,1
831888,2026-03-01,9,6,1
831721,2026-03-01,4,9,0
831529,2026-03-02,3,3,0
831577,2026-03-02,4,1,1
831527,2026-03-02,2,5,0
831476,2026-03-02,3,2,1
831640,2026-03-02,6,7,0
831930,2026-03-02,17,9,1
831874,2026-03-02,3,1,1
831760,2026-03-02,5,6,0
831840,2026-03-02,5,4,1
831808,2026-03-02,5,7,0
831934,2026-03-02,2,7,0
831641,2026-03-03,3,5,0
831532,2026-03-03,3,1,1
831430,2026-03-03,7,1,1
831445,2026-03-03,5,8,0
831444,2026-03-03,11,1,1
831437,2026-03-03,10,7,1
831436,2026-03-03,0,1,0
831434,2026-03-03,6,3,1
831811,2026-03-03,4,5,0
831772,2026-03-03,3,4,0
831940,2026-03-03,14,4,1
831851,2026-03-03,4,0,1
831853,2026-03-03,4,9,0
831720,2026-03-03,1,15,0
831817,2026-03-03,6,7,0
831855,2026-03-03,3,7,0
831800,2026-03-03,3,6,0
836149,2026-03-03,12,4,1
831439,2026-03-03,3,5,0
831440,2026-03-03,3,1,1
831642,2026-03-04,2,4,0
831634,2026-03-04,0,4,0
831427,2026-03-04,3,5,0
831438,2026-03-04,9,1,1
831432,2026-03-04,8,11,0
831429,2026-03-04,1,2,0
831433,2026-03-04,2,1,1
831435,2026-03-04,6,3,1
831431,2026-03-04,5,2,1
836150,2026-03-04,4,4,0
831963,2026-03-04,1,3,0
831938,2026-03-04,13,2,1
831852,2026-03-04,2,19,0
831799,2026-03-04,7,5,1
831929,2026-03-04,1,4,0
831854,2026-03-04,2,2,0
831844,2026-03-04,4,3,1
831723,2026-03-04,4,14,0
831428,2026-03-04,5,1,1
831739,2026-03-04,9,4,1
831479,2026-03-05,7,4,1
831478,2026-03-05,2,3,0
831633,2026-03-05,3,4,0
831581,2026-03-05,6,2,1
831583,2026-03-05,9,5,1
831632,2026-03-05,0,15,0
831582,2026-03-05,2,0,1
831961,2026-03-05,8,1,1
831810,2026-03-05,14,13,1
831941,2026-03-05,11,16,0
831765,2026-03-05,6,27,0
831792,2026-03-05,8,10,0
831733,2026-03-05,9,15,0
831880,2026-03-05,3,12,0
831631,2026-03-06,11,3,1
831524,2026-03-06,7,1,1
831519,2026-03-06,2,10,0
831470,2026-03-06,10,14,0
831525,2026-03-06,9,2,1
831826,2026-03-06,5,3,1
831871,2026-03-06,6,11,0
831889,2026-03-06,6,3,1
831737,2026-03-06,1,5,0
831919,2026-03-06,0,6,0
831954,2026-03-06,6,2,1
831521,2026-03-06,1,4,0
831624,2026-03-06,3,0,1
831480,2026-03-06,2,0,1
831842,2026-03-06,6,0,1
831921,2026-03-06,3,0,1
831523,2026-03-07,5,4,1
831518,2026-03-07,3,5,0
831469,2026-03-07,2,3,0
831629,2026-03-07,2,0,1
831630,2026-03-07,3,2,1
831576,2026-03-07,0,1,0
831580,2026-03-07,2,2,0
831897,2026-03-07,6,2,1
831949,2026-03-07,4,3,1
831774,2026-03-07,7,1,1
831726,2026-03-07,7,5,1
832862,2026-03-07,4,7,0
831904,2026-03-07,1,5,0
831795,2026-03-07,1,7,0
831828,2026-03-07,0,3,0
831568,2026-03-07,3,0,1
831863,2026-03-07,4,6,0
831572,2026-03-08,3,1,1
831571,2026-03-08,9,7,1
831628,2026-03-08,0,1,0
831522,2026-03-08,7,6,1
831520,2026-03-08,9,8,1
831627,2026-03-08,5,0,1
831467,2026-03-08,2,2,0
831575,2026-03-08,10,4,1
831960,2026-03-08,13,4,1
831832,2026-03-08,7,4,1
831812,2026-03-08,11,7,1
831757,2026-03-08,5,9,0
831813,2026-03-08,7,10,0
831848,2026-03-08,5,4,1
831882,2026-03-08,4,4,0
831892,2026-03-08,14,3,1
831740,2026-03-08,6,3,1
831570,2026-03-09,7,2,1
831516,2026-03-09,10,3,1
831626,2026-03-09,4,4,0
831515,2026-03-09,5,3,1
831569,2026-03-09,9,8,1
831881,2026-03-09,2,6,0
831943,2026-03-09,7,9,0
831816,2026-03-09,0,2,0
831865,2026-03-09,12,3,1
831748,2026-03-09,2,1,1
831725,2026-03-09,1,4,0
831802,2026-03-09,3,4,0
831468,2026-03-09,9,0,1
831517,2026-03-09,3,5,0
831625,2026-03-10,2,7,0
831617,2026-03-10,7,6,1
831618,2026-03-10,5,6,0
831573,2026-03-10,2,4,0
831513,2026-03-10,7,0,1
831473,2026-03-10,6,1,1
